name,wikipedia_url,wikidata_id,birth_date,death_date,cause_of_death,manner_of_death,age_status,minimum_lifespan_days,maximum_lifespan_days,possible_age_range,occupations,wikipedia_cause_of_death,wikipedia_cause_of_death_qids,wikipedia_manner_of_death,wikipedia_manner_of_death_qids,wikipedia_occupations,wikipedia_occupation_qids,wikipedia_death_review_status
Liu Shao,https://en.wikipedia.org/wiki/Liu_Shao_(Liu_Song),Q717895,0426,0453,,capital punishment,possible,9498,10226,"26 years, 1 day to 27 years, 364 days",,,,,,,,
Gao Cheng,https://en.wikipedia.org/wiki/Gao_Cheng,Q712573,0521,0549,,homicide,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",military personnel,,,,,,,
Xiao Daqi,https://en.wikipedia.org/wiki/Xiao_Daqi,Q1080118,0524,0551,,,possible,9497,10226,"26 years, 1 day to 27 years, 364 days",politician,,,,,,,
Aurelianus of Arles,https://en.wikipedia.org/wiki/Aurelianus_of_Arles,Q2263241,0523,0551-06-16,,,possible,10029,10393,"27 years, 167 days to 28 years, 166 days",Catholic priest; writer,,,,,,,
Emperor Xiaojing of Eastern Wei,https://en.wikipedia.org/wiki/Emperor_Xiaojing_of_Eastern_Wei,Q1149239,0524,0552,,homicide,possible,9862,10592,"27 years, 1 day to 28 years, 365 days",,,,,,,,
Consort Chen,https://en.wikipedia.org/wiki/Consort_Chen_(Sui_dynasty),Q698584,0577,0605,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",,,,,,,,
Dagobert I,https://en.wikipedia.org/wiki/Dagobert_I,Q109860,0611,0639-01-19; 0639-01-22,,natural causes,possible,9878,10248,"27 years, 16 days to 28 years, 21 days",monarch,,,,,,,
Muhammad ibn Abi Bakr,https://en.wikipedia.org/wiki/Muhammad_ibn_Abi_Bakr,Q1112754,0631,0658,killing,homicide,possible,9498,10226,"26 years, 1 day to 27 years, 364 days",military leader; wali,,,,,,,
Princess Xincheng,https://en.wikipedia.org/wiki/Princess_Xincheng,Q4310113,0634,0662,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",,,,,,,,
Dagobert II,https://en.wikipedia.org/wiki/Dagobert_II,Q316874,0652,0679-12-26,,,possible,9856,10221,"26 years, 360 days to 27 years, 359 days",monarch,,,,,,,
Prince Kusakabe,https://en.wikipedia.org/wiki/Prince_Kusakabe,Q1046438,0662,0689-05-10,,,possible,9627,9991,"26 years, 130 days to 27 years, 129 days",poet,,,,,,,
Yahya ibn Zayd,https://en.wikipedia.org/wiki/Yahya_ibn_Zayd,Q5954929,0715,0743,,,possible,9859,10587,"26 years, 362 days to 28 years, 360 days",imam; revolutionary,,,,,,,
Khurshid of Tabaristan,https://en.wikipedia.org/wiki/Khurshid_of_Tabaristan,Q3612968,0734,0761,intoxication,suicide,possible,9498,10226,"26 years, 1 day to 27 years, 364 days",regent,,,,,,,
Li Miao,https://en.wikipedia.org/wiki/Li_Miao_(Tang_dynasty),Q11098154,0746,0773-06-11,,,possible,9659,10023,"26 years, 162 days to 27 years, 161 days",military personnel,,,,,,,
Konstantinos VI,https://en.wikipedia.org/wiki/Constantine_VI,Q41661,0771-01-18,0798,,,possible,9845,10209,"26 years, 348 days to 27 years, 347 days",politician,,,,,,,
Li Shigu,https://en.wikipedia.org/wiki/Li_Shigu,Q370805,0778,0806,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",military personnel,,,,,,,
Nagabhata II,https://en.wikipedia.org/wiki/Nagabhata_II,Q6958310,0805,0833,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",king,,,,,,,
Muhammad al-Taqi,https://en.wikipedia.org/wiki/Muhammad_al-Taqi,Q4119345,0813,0840,,,possible,9497,10226,"26 years, 1 day to 27 years, 365 days",,,,,,,,
Li Rong,https://en.wikipedia.org/wiki/Li_Rong_(prince),Q6539037,0812,0840-02-12,,capital punishment; suicide,possible,9904,10269,"27 years, 43 days to 28 years, 42 days",politician,,,,,,,
Hildegard,https://en.wikipedia.org/wiki/Hildegard_(abbess_of_Fraum%C3%BCnster),Q15630826,0828,0856-12-23,,,possible,10219,10584,"27 years, 358 days to 28 years, 357 days",abbess; Christian nun,,,,,,,
Abu Ibrahim Ahmad,https://en.wikipedia.org/wiki/Abu_Ibrahim_Ahmad_ibn_Muhammad,Q324776,0836; 0837,0864-01-01,,,possible,9497,10227,"26 years, 1 day to 28 years, 0 days",,,,,,,,
Wenilo,https://en.wikipedia.org/wiki/Wenilo_(archbishop_of_Sens),Q15427563,0837,0865-05-07,,,possible,9993,10357,"27 years, 131 days to 28 years, 130 days",cleric,,,,,,,
Qarin I,https://en.wikipedia.org/wiki/Qarin_I,Q11929664,0839,0867,,,possible,9859,10587,"26 years, 362 days to 28 years, 360 days",monarch; spahbed,,,,,,,
Michael III,https://en.wikipedia.org/wiki/Michael_III,Q41622,0840-01-13,0867-09-25,,,confirmed,10113,10113,"27 years, 251 days",emperor,,,,,,,
Edmund the Martyr,https://en.wikipedia.org/wiki/Edmund_the_Martyr,Q381815,0841,0869-11-24,,,possible,10190,10554,"27 years, 328 days to 28 years, 327 days",sovereign,,,,,,,
Saint Mary the Younger,https://en.wikipedia.org/wiki/Mary_the_Younger,Q28857970,0875,0902,,,possible,9497,10225,"26 years, 1 day to 27 years, 364 days",,,,,,,,
Wang Yan,https://en.wikipedia.org/wiki/Wang_Zongyan,Q1129329,0899-08-31,0926,,homicide,possible,9619,9983,"26 years, 123 days to 27 years, 122 days",poet,,,,,,,
Lothar I. von Walbeck,"https://en.wikipedia.org/wiki/Lothar_I,_Count_of_Walbeck",Q4267368,0902,0929-09-09,,death in battle,possible,9754,10118,"26 years, 257 days to 27 years, 256 days",military personnel,,,,,,,
Ma Xiguang,https://en.wikipedia.org/wiki/Ma_Xiguang,Q11667962,0922,0950,,capital punishment,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",politician,,,,,,,
"Liudolf, Duke of Swabia","https://en.wikipedia.org/wiki/Liudolf,_Duke_of_Swabia",Q504535,0930,0957-09-06; 0957-09-11,disease,natural causes,possible,9741,10115,"26 years, 244 days to 27 years, 253 days",aristocrat,,,,,,,
John XII,https://en.wikipedia.org/wiki/Pope_John_XII,Q172933,0937,0964-05-19,stroke,homicide,possible,9636,10000,"26 years, 140 days to 27 years, 139 days",Catholic priest; ruler; writer,,,,,,,
Queen Zhou the Elder,https://en.wikipedia.org/wiki/Queen_Zhou_the_Elder,Q8262958,0936,0964-12-08,,,possible,10204,10569,"27 years, 343 days to 28 years, 342 days",consort,,,,,,,
Krishna III(kannara deva),https://en.wikipedia.org/wiki/Krishna_III,Q3536697,0939,0967,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",,,,,,,,
Zhao Dezhao,https://en.wikipedia.org/wiki/Zhao_Dezhao,Q8070521,0951,0979,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",military personnel,,,,,,,
"Otto I, Duke of Swabia and Bavaria",https://en.wikipedia.org/wiki/Otto_I_of_Swabia_and_Bavaria,Q704896,0954,0982-11-05,,death in battle,possible,10171,10535,"27 years, 309 days to 28 years, 308 days",sovereign,,,,,,,
Otto II,"https://en.wikipedia.org/wiki/Otto_II,_Holy_Roman_Emperor",Q150512,0955,0983-12-07,malaria,natural causes,possible,10198,10562,"27 years, 336 days to 28 years, 335 days",emperor; writer,,,,,,,
Vigrahapala II,https://en.wikipedia.org/wiki/Vigrahapala_II,Q7929013,0960,0988,,,possible,9862,10592,"27 years, 1 day to 28 years, 365 days",king,,,,,,,
Gregory V,https://en.wikipedia.org/wiki/Pope_Gregory_V,Q58571,0972,0999-02-28,malaria,natural causes,possible,9555,9920,"26 years, 59 days to 27 years, 58 days",Catholic priest; writer,,,,,,,
Dinh Phe De,https://en.wikipedia.org/wiki/%C4%90inh_Ph%E1%BA%BF_%C4%90%E1%BA%BF,Q1210389,0974,1001,,,possible,9498,10226,"26 years, 1 day to 27 years, 364 days",monarch,,,,,,,
Sasaki Nariyori,https://en.wikipedia.org/wiki/Sasaki_Nariyori,Q11564102,0976,1003-09-11,,,possible,9750,10115,"26 years, 254 days to 27 years, 253 days",samurai,,,,,,,
Katun Anastazya of Bulgaria,https://en.wikipedia.org/wiki/Katun_Anastazya_of_Bulgaria,Q6378432,0987,1014-10-06,,,possible,9775,10139,"26 years, 279 days to 27 years, 278 days",,,,,,,,
Qawam al-Dawla,https://en.wikipedia.org/wiki/Qawam_al-Dawla,Q373497,1000,1028,,,possible,9862,10592,"27 years, 1 day to 28 years, 365 days",,,,,,,,
Go-Ichijō,https://en.wikipedia.org/wiki/Emperor_Go-Ichij%C5%8D,Q374087,1008-10-18,1036-05-21,diabetes,natural causes,confirmed,10077,10077,"27 years, 216 days",emperor,,,,,,,
Odo of Gascony,https://en.wikipedia.org/wiki/Odo_of_Gascony,Q264821,1012,1039-03-10,,death in battle,possible,9559,9924,"26 years, 63 days to 27 years, 62 days",aristocrat,,,,,,,
Michael V Kalaphates,https://en.wikipedia.org/wiki/Michael_V_Kalaphates,Q41838,1015,1042-08-30,,,possible,9745,10109,"26 years, 248 days to 27 years, 247 days",monarch,,,,,,,
Jayasimha II,https://en.wikipedia.org/wiki/Jayasimha_II_(Western_Chalukya_dynasty),Q6167670,1015,1043,,,possible,9857,10585,"26 years, 360 days to 28 years, 358 days",,,,,,,,
Gonzalo of Sobrarbe and Ribagorza,https://en.wikipedia.org/wiki/Gonzalo_of_Sobrarbe_and_Ribagorza,Q2112429,1017,1045-06-26,,homicide,possible,10033,10397,"27 years, 171 days to 28 years, 170 days",ruler,,,,,,,
Jeongjong,"https://en.wikipedia.org/wiki/Jeongjong,_10th_monarch_of_Goryeo",Q494135,1018-09-06,1046-06-30,disease,natural causes,confirmed,10159,10159,"27 years, 297 days",,,,,,,,
Ermígio Viegas I de Ribadouro,https://en.wikipedia.org/wiki/Erm%C3%ADgio_Viegas_I_of_Ribadouro,Q10273987,1020,1047,,,possible,9497,10226,"26 years, 1 day to 27 years, 364 days",,,,,,,,
Lulach,https://en.wikipedia.org/wiki/Lulach,Q117633,1030,1058-03-17; 1058-03-23,,,possible,9932,10308,"27 years, 70 days to 28 years, 81 days",politician,,,,,,,
Áurea of San Millán,https://en.wikipedia.org/wiki/%C3%81urea_of_San_Mill%C3%A1n,Q3822057,1043,1070-03-17,,,possible,9579,9943,"26 years, 82 days to 27 years, 81 days",nun,,,,,,,
Usaukpan,https://en.wikipedia.org/wiki/Usaukpan_(Sawlu),Q23620275,1050,1077,,,possible,9498,10226,"26 years, 1 day to 27 years, 364 days",,,,,,,,
Roman Svyatoslavich,https://en.wikipedia.org/wiki/Roman_Svyatoslavich,Q4397041,1052,1079-10-02,,,possible,9771,10136,"26 years, 275 days to 27 years, 274 days",monarch,,,,,,,
Richard of Normandy,https://en.wikipedia.org/wiki/Richard_(son_of_William_the_Conqueror),Q3498141,1054,1081,,accidental death,possible,9504,10232,"26 years, 7 days to 28 years, 5 days",,,,,,,,
Fujiwara no Kenshi,https://en.wikipedia.org/wiki/Fujiwara_no_Kenshi_(1057%E2%80%931084),Q5507520,1057,1084-10-30,,,possible,9800,10164,"26 years, 304 days to 27 years, 303 days",empress consort,,,,,,,
Eremburga of Mortain,https://en.wikipedia.org/wiki/Eremburga_of_Mortain,Q3731296,1060,1088,,,possible,9862,10592,"27 years, 1 day to 28 years, 365 days",countess,,,,,,,
"Odo III, Count of Champagne",https://en.wikipedia.org/wiki/Odo_V,Q372118,1065,1093,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",aristocrat,,,,,,,
"William I, Count of Cerdanya",https://en.wikipedia.org/wiki/William_I_of_Cerdanya,Q6746565,1068,1095,,,possible,9497,10226,"26 years, 1 day to 27 years, 364 days",,,,,,,,
Haakon Magnusson of Norway,https://en.wikipedia.org/wiki/Haakon_Toresfostre,Q1752172,1068,1095-02,,,possible,9534,9926,"26 years, 38 days to 27 years, 64 days",king,,,,,,,
Six Monkey War Quechquemitl,https://en.wikipedia.org/wiki/Six_Monkey_War_Quechquemitl,Q112130689,1073,1101,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",politician,,,,,,,
Conrad II of Italy,https://en.wikipedia.org/wiki/Conrad_II_of_Italy,Q455181,1074-02-12,1101-07-27,,,confirmed,10026,10026,"27 years, 165 days",monarch,,,,,,,
Alberic II de Mello,https://en.wikipedia.org/wiki/Alberic_I_of_Dammartin,Q2830862,1075,1103,,,possible,9862,10590,"27 years, 1 day to 28 years, 364 days",,,,,,,,
Mansur ibn Nasir,https://en.wikipedia.org/wiki/Al-Mansur_ibn_al-Nasir,Q294285,1077,1105-01,,,possible,9863,10257,"27 years, 1 day to 28 years, 30 days",Amir,,,,,,,
Richard II of Capua,https://en.wikipedia.org/wiki/Richard_II_of_Capua,Q1095074,1078,1105; 1106,,,possible,9498,10591,"26 years, 1 day to 28 years, 364 days",military personnel,,,,,,,
Kilij Arslan I,https://en.wikipedia.org/wiki/Kilij_Arslan_I,Q345544,1079,1107; 1107-06,drowning,,possible,9862,10590,"27 years, 1 day to 28 years, 364 days",politician,,,,,,,
"Richard d'Avranches, 2nd Earl of Chester","https://en.wikipedia.org/wiki/Richard_d%27Avranches,_2nd_Earl_of_Chester",Q115248,1093,1120-12-02,,,possible,9833,10197,"26 years, 337 days to 27 years, 336 days",feudatory,,,,,,,
Aenor de Châtellerault,https://en.wikipedia.org/wiki/A%C3%A9nor_de_Ch%C3%A2tellerault,Q507801,1103,1130-03,,,possible,9564,9958,"26 years, 67 days to 27 years, 96 days",aristocrat,,,,,,,
Mahmud II of Great Seljuq,https://en.wikipedia.org/wiki/Mahmud_II_(Seljuk_sultan),Q1658770,1104,1131-09-10,,,possible,9742,10107,"26 years, 246 days to 27 years, 245 days",politician,,,,,,,
Hugh II of Jaffa,https://en.wikipedia.org/wiki/Hugh_II_of_Jaffa,Q1635226,1106,1134,,homicide,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",,,,,,,,
Magnus I of Sweden,https://en.wikipedia.org/wiki/Magnus_the_Strong,Q347954,1106,1134-06-04,,,possible,10017,10381,"27 years, 155 days to 28 years, 154 days",monarch,,,,,,,
"William, Count of Weimar-Orlamünde",https://en.wikipedia.org/wiki/Wilhelm_von_Ballenstedt,Q2285815,1112,1140-02-13,,,possible,9905,10270,"27 years, 44 days to 28 years, 43 days",aristocrat,,,,,,,
Richardis von Stade,https://en.wikipedia.org/wiki/Richardis_von_Stade,Q107067323,1124; 1125,1152,,,possible,9497,10592,"26 years, 1 day to 28 years, 365 days",nun,,,,,,,
Canute V of Denmark,https://en.wikipedia.org/wiki/Canute_V_of_Denmark,Q381080,1129,1157-08-16,,homicide,possible,10097,10461,"27 years, 235 days to 28 years, 234 days",politician,,,,,,,
Fujiwara no Nobuyori,https://en.wikipedia.org/wiki/Fujiwara_no_Nobuyori,Q2918443,1133,1160-02-13,decapitation,capital punishment,possible,9540,9904,"26 years, 44 days to 27 years, 43 days",samurai,,,,,,,
William FitzEmpress,https://en.wikipedia.org/wiki/William_FitzEmpress,Q14806894,1136-07-22,1164-01-30; 1164-02-06,,,confirmed,10053,10067,"27 years, 192 days to 27 years, 206 days",,,,,,,,
Reginald Fitzurse,https://en.wikipedia.org/wiki/Reginald_Fitzurse,Q1385312,1145,1173,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",feudatory,,,,,,,
Fujiwara no Ikushi,https://en.wikipedia.org/wiki/Fujiwara_no_Ikushi,Q5507513,1146,1173-09-30,,,possible,9770,10134,"26 years, 273 days to 27 years, 272 days",empress consort,,,,,,,
Magnus V of Norway,https://en.wikipedia.org/wiki/Magnus_Erlingsson,Q350213,1156,1184-06-22,,,possible,10035,10400,"27 years, 174 days to 28 years, 173 days",king,,,,,,,
Satō Tsugunobu,https://en.wikipedia.org/wiki/Sat%C5%8D_Tsugunobu,Q11384341,1158,1185-03-22,,,possible,9578,9942,"26 years, 81 days to 27 years, 80 days",military commander,,,,,,,
Taira no Shigehira,https://en.wikipedia.org/wiki/Taira_no_Shigehira,Q710537,1157,1185-07-28,decapitation,extra-judicial killing,possible,10071,10435,"27 years, 209 days to 28 years, 208 days",samurai,,,,,,,
Geoffrey II,https://en.wikipedia.org/wiki/Geoffrey_II_of_Brittany,Q314550,1158-09-30,1186-08-26,horse fall,accidental death,confirmed,10192,10192,"27 years, 330 days",aristocrat,,,,,,,
"Baldwin de Redvers, 3rd Earl of Devon","https://en.wikipedia.org/wiki/Baldwin_de_Redvers,_3rd_Earl_of_Devon",Q804869,1160,1188,,,possible,9862,10592,"27 years, 1 day to 28 years, 365 days",aristocrat,,,,,,,
Al-Aziz Uthman,https://en.wikipedia.org/wiki/Al-Aziz_Uthman,Q249058,1171,1198-12-06,hunting accident,accidental death,possible,9837,10201,"26 years, 340 days to 27 years, 339 days",politician; ruler,,,,,,,
Agnes of Hohenstaufen,https://en.wikipedia.org/wiki/Agnes_of_Hohenstaufen,Q119918,1176,1204-05-09; 1204-05-14,,,possible,9991,10368,"27 years, 130 days to 28 years, 141 days",consort,,,,,,,
Hemanta Sena,https://en.wikipedia.org/wiki/Hemanta_Sena,Q12460830,1179,1206,,,possible,9498,10226,"26 years, 1 day to 27 years, 364 days",,,,,,,,
Irene Angelina,https://en.wikipedia.org/wiki/Irene_Angelina,Q119431,1180; 1181,1208-09-03,puerperal disorders,natural causes,possible,9743,10480,"26 years, 247 days to 28 years, 253 days",queen regnant,,,,,,,
Jean de Haute-Seille,https://en.wikipedia.org/wiki/John_of_Alta_Silva,Q54834395,1184,1212,,,possible,9862,10592,"27 years, 1 day to 28 years, 365 days",monk; writer,,,,,,,
David I of Trebizond,https://en.wikipedia.org/wiki/David_Komnenos,Q447439,1184,1212-12-13,,,possible,10209,10574,"27 years, 348 days to 28 years, 347 days",sovereign,,,,,,,
Gertrude of Merania,https://en.wikipedia.org/wiki/Gertrude_of_Merania,Q61491,1185-10-01,1213-09-08; 1213-10-05,,homicide,possible,10197,10231,"27 years, 335 days to 28 years, 4 days",queen,,,,,,,
Helvis of Lusignan,https://en.wikipedia.org/wiki/Helvis_of_Cyprus,Q3129996,1190,1218,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",,,,,,,,
"Theobald VI, Count of Blois",https://en.wikipedia.org/wiki/Theobald_VI_of_Blois,Q1340184,1190,1218-04,leprosy,natural causes,possible,9953,10346,"27 years, 91 days to 28 years, 119 days",aristocrat,,,,,,,
Zhao Xun,https://en.wikipedia.org/wiki/Zhao_Xun_(Song_dynasty),Q16904375,1192,1220-09-11,,,possible,10116,10481,"27 years, 255 days to 28 years, 254 days",,,,,,,,
Albertet,https://en.wikipedia.org/wiki/Albertet_de_Sestaro,Q1771493,1194,1221,,,possible,9505,10233,"26 years, 8 days to 28 years, 6 days",composer; poet; troubadour,,,,,,,
Robert of Courtenay,https://en.wikipedia.org/wiki/Robert_of_Courtenay,Q365620,1201,1228-01,,,possible,9497,9891,"26 years, 1 day to 27 years, 30 days",ruler,,,,,,,
Al-Mas'ud Yusuf,https://en.wikipedia.org/wiki/Al-Mas%27ud_Yusuf,Q39859842,1201,1229,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",ruler,,,,,,,
Hōjō Tokiuji,https://en.wikipedia.org/wiki/H%C5%8Dj%C5%8D_Tokiuji,Q3076539,1203,1230-08-05,,,possible,9714,10078,"26 years, 217 days to 27 years, 216 days",bushi,,,,,,,
Joan of England,"https://en.wikipedia.org/wiki/Joan_of_England,_Queen_of_Scotland",Q242287,1210-07-29,1238-03-11,,,confirmed,10087,10087,"27 years, 225 days",,,,,,,,
Frederick of Pettorano,https://en.wikipedia.org/wiki/Frederick_of_Pettorano,Q21003752,1213,1240,,,possible,9497,10226,"26 years, 1 day to 27 years, 365 days",,,,,,,,
Isabella of England,https://en.wikipedia.org/wiki/Isabella_of_England,Q237858,1214,1241-12-08,puerperal disorders,natural causes,possible,9839,10203,"26 years, 342 days to 27 years, 341 days",queen,,,,,,,
"Infante Fernando, Lord of Serpa","https://en.wikipedia.org/wiki/Fernando,_Lord_of_Serpa",Q3068701,1218,1246-01-26,,,possible,9888,10252,"27 years, 26 days to 28 years, 25 days",,,,,,,,
Umiliana de' Cerchi,https://en.wikipedia.org/wiki/Umiliana_de%27_Cerchi,Q4003536,1219,1246-05-19,,,possible,9636,10000,"26 years, 139 days to 27 years, 138 days",Christian nun; religious,,,,,,,
Al-Adil II,https://en.wikipedia.org/wiki/Al-Adil_II,Q294314,1221,1248-02-16,,,possible,9543,9907,"26 years, 47 days to 27 years, 46 days",politician; ruler,,,,,,,
"William II, Count of Flanders",https://en.wikipedia.org/wiki/William_II_of_Flanders,Q28530,1224,1251-06-13,,homicide,possible,9660,10025,"26 years, 164 days to 27 years, 163 days",aristocrat; politician,,,,,,,
William II of Holland,https://en.wikipedia.org/wiki/William_II_of_Holland,Q77255,1228-02; 1228-07-26,1256-01-28; 1256-02-04,,death in battle,possible,10040,10237,"27 years, 179 days to 28 years, 10 days",aristocrat,,,,,,,
"Alice de Lusignan, Countess of Surrey","https://en.wikipedia.org/wiki/Alice_de_Lusignan,_Countess_of_Surrey",Q4726170,1229,1256-02-16,,,possible,9543,9907,"26 years, 47 days to 27 years, 46 days",,,,,,,,
Rukn al-Din Khurshah,https://en.wikipedia.org/wiki/Rukn_al-Din_Khurshah,Q404123,1230,1257,killing,homicide,possible,9498,10226,"26 years, 1 day to 27 years, 364 days",governor; imam,,,,,,,
"Edmund de Lacy, Baron of Pontefract","https://en.wikipedia.org/wiki/Edmund_de_Lacy,_Baron_of_Pontefract",Q5339948,1230,1257; 1258,,,possible,9505,10591,"26 years, 8 days to 28 years, 364 days",aristocrat,,,,,,,
Sancho of Castile,https://en.wikipedia.org/wiki/Sancho_of_Castile_(bishop),Q3948085,1233,1261-11-03,,,possible,10169,10533,"27 years, 307 days to 28 years, 306 days",Catholic priest,,,,,,,
"Christina of Norway, Infanta of Castile","https://en.wikipedia.org/wiki/Christina_of_Norway,_Infanta_of_Castile",Q1796659,1234,1262,,,possible,9863,10591,"27 years, 1 day to 28 years, 364 days",,,,,,,,
"Álvaro, Count of Urgell","https://en.wikipedia.org/wiki/%C3%81lvaro,_Count_of_Urgell",Q6745899,1239-03,1267,,,possible,10131,10525,"27 years, 269 days to 28 years, 298 days",,,,,,,,
Margaret of Hungary,https://en.wikipedia.org/wiki/Margaret_of_Hungary_(saint),Q232031,1242-02-03,1270-01-25,,,confirmed,10218,10218,"27 years, 356 days",religious sister,,,,,,,
Fujiwara no Saneko,https://en.wikipedia.org/wiki/Fujiwara_no_Saneko,Q10380962,1245,1272-09-09,,,possible,9749,10113,"26 years, 253 days to 27 years, 252 days",empress consort,,,,,,,
"Abel, Lord of Langeland","https://en.wikipedia.org/wiki/Abel,_Lord_of_Langeland",Q4666520,1252,1279-04-09,,,possible,9595,9960,"26 years, 99 days to 27 years, 98 days",,,,,,,,
